emp_no,first_name,last_name,title,from_date,salary
89075,Aamer,Bolsens,Senior Engineer,1988-08-09,40000
50814,Aamer,Daescu,Senior Engineer,1988-09-16,49220
61761,Aamer,Feinberg,Senior Staff,1992-11-02,45996
100229,Aamer,Ferretti,Engineer,1999-07-29,40000
210129,Aamer,Frijda,Engineer,1986-11-06,40000
466972,Aamer,Haldar,Senior Engineer,1988-03-25,46892
299725,Aamer,Holburn,Senior Engineer,1988-12-08,40231
205248,Aamer,Imataki,Senior Engineer,1988-08-24,40000
262801,Aamer,Krider,Senior Engineer,1994-08-15,40000
482602,Aamer,Lagarias,Senior Engineer,1986-09-17,53324
103641,Aamer,Loncour,Engineer,1996-03-19,56711
100534,Aamer,Luga,Staff,1996-04-08,95161
41743,Aamer,Lunt,Senior Engineer,1988-05-22,48669
39647,Aamer,Massonet,Engineer,1996-11-26,55875
497615,Aamer,McDermid,Engineer,1997-10-28,40000
220170,Aamer,McFarlan,Senior Engineer,1987-10-01,51722
101778,Aamer,Peha,Senior Engineer,1991-09-13,40000
88788,Aamer,Picel,Senior Staff,1988-10-10,40000
453237,Aamer,Puoti,Engineer,1985-12-16,42849
223399,Aamer,Radivojevic,Engineer,1999-11-07,45792
498104,Aamer,Rosca,Staff,1996-02-28,56729
214023,Aamer,Rosen,Engineer,1999-05-24,57494
491629,Aamer,Schapiro,Senior Engineer,1999-08-23,81500
74202,Aamer,Schneeberger,Senior Engineer,1987-10-15,48172
61415,Aamer,Schwartzbauer,Staff,1997-04-30,83124
255361,Aamer,Spell,Assistant Engineer,1995-08-21,40000
272876,Aamer,Standera,Senior Staff,1985-12-30,40000
282485,Aamer,Strandh,Senior Engineer,1986-03-14,40000
23269,Aamer,Szmurlo,Senior Engineer,1988-05-25,49962
235609,Aamer,Talmor,Staff,1985-03-11,53897
86639,Aamer,Yavatkar,Senior Engineer,1989-04-27,43471
70791,Aamod,Avouris,Senior Engineer,1989-09-24,51105
280918,Aamod,Codenie,Staff,1992-09-23,83057
44610,Aamod,Cronan,Senior Engineer,1990-02-10,56065
415733,Aamod,Herath,Engineer,1994-10-24,40000
479463,Aamod,Isard,Technique Leader,1992-03-25,49481
276240,Aamod,Kitsuregawa,Senior Engineer,1996-08-15,40000
36888,Aamod,Lanphier,Senior Staff,1988-09-23,40000
260969,Aamod,Leuchs,Staff,1987-08-05,40000
201699,Aamod,Lorie,Staff,1987-06-16,58150
430982,Aamod,Oxman,Staff,1995-08-15,73050
247408,Aamod,Perez,Engineer,1987-11-06,54944
75166,Aamod,Snyers,Engineer,1996-11-14,71375
494473,Aamod,Suri,Senior Engineer,1986-07-05,59639
76816,Aamod,Terlouw,Engineer,1996-03-18,42142
292331,Aamod,Vesna,Engineer,1998-03-05,55580
270783,Aamod,Vilarrasa,Staff,1998-02-24,62493
81885,Aamod,Walston,Engineer,1994-11-30,56428
412918,Abdelaziz,Assaf,Staff,1985-07-13,48838
452891,Abdelaziz,Bennet,Staff,1987-03-19,48035
71429,Abdelaziz,Budinsky,Engineer,1995-11-28,48713
41147,Abdelaziz,Chimia,Senior Engineer,1985-08-14,40000
449838,Abdelaziz,Cmelik,Engineer,1990-12-20,50795
